Feature,Correlation,MutualInformation,RandomForestImportance
Compressor_PR,0.12933731207081128,0.00802994072325891,0.2678857071734211
Compressor_TR,0.000286553136727755,0.009879893332384704,0.2356337503453377
RPM_rev_min,-0.0005371396194186292,0.0,0.11352935890533772
Mach,-0.002929939669803314,0.0,0.10326189864704835
Combustor_PR,0.011957287071176471,0.005733088402240405,0.03893939804603071
P4_Pa,0.1665558745407579,0.008628040440336271,0.03573108417708584
T2_K,0.0030022267530200194,0.00759909718713736,0.03510338209776093
Turbine_TR,0.08736990526664293,0.0049741840434549545,0.026905268321185786
Turbine_ER,0.0776061527128073,0.019833078234950285,0.026535622136017612
FuelFlow_kg_s,0.006529326489127387,0.0,0.024342318246203126
Tamb_K,0.005174723980183305,0.0013380621986787133,0.015601920788827012
T3_K,0.042499311419879275,0.01190822711010231,0.014330914870521539
P3_Pa,0.09396780282192074,0.0018245751932699505,0.013863617196930168
P2_Pa,0.09376203071208787,0.006956672445925349,0.013184873137493437
Altitude_m,-0.0063076834425185215,0.0,0.012974920819548813
T4_K,0.04701441591862542,0.00040950639683323686,0.01260143843056273
Pamb_Pa,0.006228454952040106,0.0,0.009574526660687435
