Feature,Correlation,MutualInformation,RandomForestImportance
Compressor_PR,0.1510485114655768,0.01613118336099717,0.34410573384745796
Compressor_TR,-0.0036673812988198026,0.011327664303435014,0.3171068977984526
RPM_rev_min,-0.0036945913926579367,0.007663849756287533,0.13018380879205238
Mach,-0.006822001500871972,0.008097926380220777,0.1064641314321258
Combustor_PR,0.008036933803891437,0.0,0.015842638038538318
Turbine_ER,0.07999730479091333,0.010803992629376147,0.013778388187041263
P4_Pa,0.18274671855662036,0.013704389257148897,0.012434409033882581
T2_K,-0.0032337292356765424,0.007393527012090395,0.011338448946319602
Turbine_TR,0.09177587705404339,0.006532031863549115,0.010541971735341443
FuelFlow_kg_s,0.0007386210587426353,0.005859813619758292,0.007299368566225607
T3_K,0.03419562193029103,0.012202179236317612,0.005254025761551309
Tamb_K,2.6283715098143832e-05,0.012106160304840685,0.00491824249699974
Altitude_m,-0.0015602414852448955,0.0,0.004872164901381832
T4_K,0.04015819572082395,0.006364365613765521,0.00452817065716735
P3_Pa,0.10489857643611353,0.002872625821548347,0.004407338185036561
P2_Pa,0.10477925025647855,0.005467642991398236,0.0039015578319212554
Pamb_Pa,0.0022608875278080183,0.0,0.0030227037885045727
