Feature,Correlation,MutualInformation,RandomForestImportance
Compressor_PR,0.14868302586521992,0.01900194624038587,0.33562943292244035
Compressor_TR,-0.0035829128750632074,0.008193302477849329,0.2988303728478338
RPM_rev_min,-0.003443024524396745,0.0,0.1269500655393235
Mach,-0.005442221851011765,0.0,0.10536523402671218
Combustor_PR,0.008420221241730301,0.0,0.018661154658550762
P4_Pa,0.18545551821542208,0.02498221687114377,0.017656101209527698
T2_K,-0.0027949884861230814,0.010500358160766332,0.01761548785666417
Turbine_ER,0.08696557722273811,0.014650614924537564,0.016369900186788324
Turbine_TR,0.0989542858855731,0.010058326573339826,0.012974809738369198
FuelFlow_kg_s,0.0021741475409572278,0.0,0.009622187767961815
T3_K,0.03677367725042742,0.003559709867605676,0.006668814857878577
P3_Pa,0.10383839022964109,0.007387057751244264,0.006486274966979629
Tamb_K,0.0005657073249167336,0.005204307959632004,0.006162017980311634
P2_Pa,0.10371392853908024,0.009803466394688876,0.005760107698176358
Altitude_m,-0.0021059654185073815,0.0,0.005687993902680165
T4_K,0.04318320134275985,0.006434520361377594,0.0056340591234797805
Pamb_Pa,0.0024782478863708286,0.0,0.003925984716322146
