Feature,Correlation,MutualInformation,RandomForestImportance
T3_K,0.9506582058001196,1.5844696659053357,0.8260057325017229
T4_K,0.9486588840506631,1.5587733539504773,0.13518179674773817
Mach,0.1842010242763438,0.025997189174818303,0.02744016134008081
Compressor_PR,-0.4598882034647975,0.2021167585910213,0.0029177559212077197
FuelFlow_kg_s,0.7634076670526609,0.5700338237248452,0.0016856784399567606
P4_Pa,0.035686604991923485,0.09131897898954033,0.0015027573502052873
Turbine_ER,0.8191326118037349,0.6726602449493768,0.0008814640725169688
Turbine_TR,0.7881231783116696,0.6138446306370202,0.0006902181625630508
Combustor_PR,0.004903122809188736,0.0002610306561194875,0.0006878809724131171
Compressor_TR,-0.5073989350327506,0.21881171687624423,0.000493982518677389
P2_Pa,-0.30303393223967506,0.1035286580484529,0.00043785004890520567
P3_Pa,-0.30283777685361535,0.09891259312296352,0.0004350649644928737
RPM_rev_min,-0.5644977483872324,0.2955794029471903,0.0003653037895593167
T2_K,-0.4404952710734207,0.1652062973449393,0.0003644127797726054
Tamb_K,0.014858941672409233,0.003019331092779076,0.0003426722519947597
Altitude_m,-0.015189607223005235,0.0025154279287171732,0.0003049109813995442
Pamb_Pa,0.0162110816426394,0.0,0.0002623571567936194
