Feature,Correlation,MutualInformation,RandomForestImportance
FuelFlow_kg_s,0.8695356346666208,0.8228827946546273,0.7683116509265533
RPM_rev_min,0.431554389663459,0.18940309214330053,0.20318521082543067
Mach,-0.13869122540572051,0.020650332816330774,0.023158442370473608
Compressor_PR,0.34934833176562324,0.13710438050055274,0.00228119665924518
Turbine_ER,0.10489191207174973,0.23471552110617733,0.00072904178600412
Turbine_TR,0.1671719862220783,0.20129444370896543,0.00039624169748380983
T4_K,0.2889970205564335,0.3586766649575388,0.00035688053833387906
Compressor_TR,0.37661244784315007,0.14217751458776196,0.0003566283682715441
T3_K,0.33076203800495513,0.4112286391635722,0.00026838322516453385
Combustor_PR,0.006321245829828158,0.007732486177528308,0.00025832762879725535
T2_K,0.3217345954400671,0.09161045388654099,0.0001586028002231795
Altitude_m,0.020832697663364912,0.0,0.00011971226579663601
Tamb_K,-0.02019615775377616,0.0,0.00011608932202185122
P4_Pa,0.4259100708186032,0.12094748681546363,8.773591674887232e-05
Pamb_Pa,-0.020920207331192455,0.0,8.708749570180637e-05
P2_Pa,0.22038485153270768,0.04931000655046791,6.459323674495923e-05
P3_Pa,0.22059561638534014,0.05518728838859843,6.417493700469807e-05
