Feature,Correlation,MutualInformation,RandomForestImportance
Compressor_PR,0.13236836291888426,0.01316794773502128,0.288788076885512
Compressor_TR,-0.004881941206875776,0.008611291775321384,0.24429020531223722
RPM_rev_min,-0.0039743973897038935,0.002132119681879985,0.11871962496791413
Mach,-0.0034808424549984574,0.0038846170464328367,0.10576621329004532
Combustor_PR,0.006041491473556229,0.0,0.031964252837513134
P4_Pa,0.17243903076623432,0.027399824459187982,0.03145996404956945
T2_K,-0.004570233733660262,0.0,0.03072640345336798
Turbine_ER,0.09119293701464219,0.011452659194294945,0.028372797664178318
Turbine_TR,0.1029152702928391,0.014442596539740116,0.024438121559790225
FuelFlow_kg_s,0.002163174883863026,0.0012448807379303872,0.0201962715643455
T3_K,0.032956610395894696,0.0,0.013897834443174282
Tamb_K,-0.0009215912961349784,0.0,0.012063979421040351
P3_Pa,0.09162916754770593,0.006254490278418068,0.0110205933187748
Altitude_m,-0.0006099593390639367,0.00041215875130085067,0.010620438626641814
T4_K,0.04017602139020093,7.011106909970977e-05,0.010239646166191824
P2_Pa,0.09155565138256334,0.011244478661457613,0.009964556930395295
Pamb_Pa,0.0005773188847710509,0.0018894799109823168,0.007471019509308354
