Column,Datatype,Missing,Unique
EngineID,int64,0,100
Cycle,int64,0,300
Altitude_m,float64,0,30000
Mach,float64,0,30000
Tamb_K,float64,0,30000
Pamb_Pa,float64,0,30000
RPM_rev_min,float64,0,30000
FuelFlow_kg_s,float64,0,30000
P2_Pa,float64,0,30000
T2_K,float64,0,30000
P3_Pa,float64,0,30000
T3_K,float64,0,30000
P4_Pa,float64,0,30000
T4_K,float64,0,30000
CompressorHealth,float64,0,30000
CombustorHealth,float64,0,30000
TurbineHealth,float64,0,30000
OverallHealth,float64,0,30000
Thrust_N,float64,0,30000
TSFC_g_N_s,float64,0,30000
