,Altitude_m,Mach,Tamb_K,Pamb_Pa,RPM_rev_min,FuelFlow_kg_s,P2_Pa,T2_K,P3_Pa,T3_K,P4_Pa,T4_K
Altitude_m,1.0,0.003700648493070517,-0.993715965305747,-0.9856408841519759,0.0023987737891147504,0.006711411641206834,-0.6464813558595986,-0.4658752450511031,-0.6464509501882129,-0.03166768206274122,-0.7131385173909569,-0.01755311546466698
Mach,0.003700648493070517,1.0,-0.0048794710648065835,-0.0026976622372130283,0.0018249757363076235,0.0076325648933765824,0.23094267514139658,0.22940479848300366,0.23086877511738385,0.017635340266954798,0.24613477197641434,0.010581344410538738
Tamb_K,-0.993715965305747,-0.0048794710648065835,1.0,0.979477361960195,-0.0018932496537856437,-0.006330688721023864,0.6423448122422739,0.4631734644453262,0.6423340933597091,0.03155006559468057,0.7080134021825875,0.01748295767200068
Pamb_Pa,-0.9856408841519759,-0.0026976622372130283,0.979477361960195,1.0,-0.002737120258910315,-0.00642192311561054,0.655485544259854,0.4589418592357536,0.6554726357991135,0.03260814899181238,0.7208172610627487,0.018632934220658436
RPM_rev_min,0.0023987737891147504,0.0018249757363076235,-0.0018932496537856437,-0.002737120258910315,1.0,0.003021332308547872,0.6200947651618285,0.831886193962999,0.6199895325656316,-0.5643386143528859,0.3641193023845984,-0.6082805139150435
FuelFlow_kg_s,0.006711411641206834,0.0076325648933765824,-0.006330688721023864,-0.00642192311561054,0.003021332308547872,1.0,-0.0022862494489706287,0.0015182609853470613,-0.0020239142173720946,0.7212312167653085,0.3066810001463827,0.6907645018675841
P2_Pa,-0.6464813558595986,0.23094267514139658,0.6423448122422739,0.655485544259854,0.6200947651618285,-0.0022862494489706287,1.0,0.9027747167021307,0.9996882028394494,-0.321938440289258,0.8494329035710599,-0.3613632396209716
T2_K,-0.4658752450511031,0.22940479848300366,0.4631734644453262,0.4589418592357536,0.831886193962999,0.0015182609853470613,0.9027747167021307,1.0,0.9026350581172424,-0.481188752395672,0.7289437278849458,-0.5273795483968569
P3_Pa,-0.6464509501882129,0.23086877511738385,0.6423340933597091,0.6554726357991135,0.6199895325656316,-0.0020239142173720946,0.9996882028394494,0.9026350581172424,1.0,-0.3217102930887785,0.8495440411482293,-0.36113627412920785
T3_K,-0.03166768206274122,0.017635340266954798,0.03155006559468057,0.03260814899181238,-0.5643386143528859,0.7212312167653085,-0.321938440289258,-0.481188752395672,-0.3217102930887785,1.0,-0.03566449214907379,0.9978587249499258
P4_Pa,-0.7131385173909569,0.24613477197641434,0.7080134021825875,0.7208172610627487,0.3641193023845984,0.3066810001463827,0.8494329035710599,0.7289437278849458,0.8495440411482293,-0.03566449214907379,1.0,-0.07028231268070119
T4_K,-0.01755311546466698,0.010581344410538738,0.01748295767200068,0.018632934220658436,-0.6082805139150435,0.6907645018675841,-0.3613632396209716,-0.5273795483968569,-0.36113627412920785,0.9978587249499258,-0.07028231268070119,1.0
