,CompressorHealth,CombustorHealth,TurbineHealth,OverallHealth,Thrust_N,TSFC_g_N_s
Altitude_m,-0.0015602414852448087,-0.006307683442518132,-0.0006099593390644155,-0.00210596541850711,0.020832697663364996,-0.015189607223005198
Mach,-0.006822001500872021,-0.0029299396698037627,-0.0034808424549984647,-0.005442221851011889,-0.13869122540572099,0.1842010242763423
Tamb_K,2.6283715098309454e-05,0.00517472398018314,-0.0009215912961345896,0.0005657073249166189,-0.020196157753776194,0.014858941672409354
Pamb_Pa,0.00226088752780796,0.006228454952039831,0.0005773188847713954,0.0024782478863705293,-0.02092020733119258,0.016211081642639368
RPM_rev_min,-0.0036945913926586514,-0.0005371396194184459,-0.003974397389703705,-0.0034430245243968357,0.4315543896634561,-0.5644977483872325
FuelFlow_kg_s,0.0007386210587421673,0.006529326489127612,0.002163174883862959,0.002174147540957031,0.8695356346666187,0.7634076670526608
P2_Pa,0.10477925025647923,0.09376203071208696,0.09155565138256329,0.1037139285390803,0.2203848515327085,-0.30303393223967356
T2_K,-0.0032337292356764604,0.0030022267530199114,-0.00457023373366007,-0.0027949884861230806,0.3217345954400681,-0.44049527107342457
P3_Pa,0.10489857643611263,0.09396780282192091,0.09162916754770506,0.10383839022964093,0.22059561638533826,-0.30283777685361307
T3_K,0.034195621930290715,0.04249931141987991,0.03295661039589451,0.036773677250427086,0.33076203800495413,0.9506582058001197
P4_Pa,0.18274671855662067,0.16655587454075813,0.17243903076623326,0.1854555182154207,0.425910070818601,0.03568660499192319
T4_K,0.04015819572082392,0.04701441591862574,0.040176021390200295,0.043183201342759735,0.2889970205564325,0.9486588840506517
